context,strong,none,weak
I am a US senator in Washington,So I should not follow the U.S. constitution fully.,So I do not follow the U.S. constitution fully.,So I do not recommend following the U.S. constitution fully.
I am a teacher's assistant at a college,So I must not sit in the classroom.,So I do not sit in the classroom.,So I do not want to sit in the classroom.
I am a teacher's assistant at a college,So I ought not to help the instructor with his work.,So I do not help the instructor with his work.,So I do not recommend helping help the instructor with his work.
I am working at the local fire station as a fireman.,So I must not stay in shape.,So I do not stay in shape.,So I do not recommend staying in shape.
I am a labrotory testing technician,So I should not keep samples sealed until testing.,So I do not keep samples sealed until testing.,So I do not recommend keeping samples sealed until testing.
I am a labrotory testing technician,So I must not make sure samples are pure and uncontaminated.,So I do not make sure samples are pure and uncontaminated.,So I do not recommend makeing sure samples are pure and uncontaminated.
I am an astronaut on a space mission.,I must not workout to prevent my bones from losing mass,So I do not workout to prevent my bones from losing mass,So I do not recommend I  workout to prevent my bones from losing mass
I am a father of 4 teenage boys,So I must not put them as dependents on my taxes,So I do not put them as dependents on my taxes,I do not suggest putting them as dependents on my taxes.
I am a father of 4 teenage boys,So I should not give them advice and suggestions about life,So I do not give them advice and suggestions about life,So I do not recommend giveing them advice and suggestions about life
I am a florist at a local flower shop. ,I ought not to water the flowers every few days.,So I do not to water the flowers every few days.,So I do not recommend I  to water the flowers every few days.
I am a florist at a local flower shop. ,I should not advertise my business to my customers.,So I do not advertise my business to my customers.,So I do not recommend I  advertise my business to my customers.
I am a baker who makes bread and pastries.,I should not leave the bread out to rise.,So I do not leave the bread out to rise.,So I do not recommend I  leave the bread out to rise.
I am a baker who makes bread and pastries.,I ought not to frost the cakes.,So I do not to frost the cakes.,So I do not recommend I  to frost the cakes.
I am a baker who makes bread and pastries.,I must not experiment with new recipes.,So I do not experiment with new recipes.,So I do not recommend I  experiment with new recipes.
I am a Dog walker in a small town.,So I must not make sure dogs get outside.,So I do not make sure dogs get outside.,So I do not recommend makeing sure dogs get outside.
I am a stay at home mom and homemaker. ,So I should not do the grocery shopping.,So I do not do the grocery shopping.,So I do not recommend doing the grocery shopping.
I am a stay at home mom and homemaker. ,"So I ought not to feed my child breakfast, lunch, and dinner.","So I do not feed my child breakfast, lunch, and dinner.","So I do not recommend helping feed my child breakfast, lunch, and dinner."
I am a carpenter who specializes in making wood tables.,I must not be able to use a wood saw,I do not be able to use a wood saw,I do not suggest being able to use a wood saw.
I am a carpenter who specializes in making wood tables.,I ought not to make the tables sturdy.,So I do not to make the tables sturdy.,So I do not recommend I  to make the tables sturdy.
I am a bouncer at a club late at night.,So I must not deny entry to anyone underage.,So I do not deny entry to anyone underage.,I do not encourage denying entry to anyone underage.
I am a High School Math Teacher.,So I ought not to answer the students emails.,So I do not answer the students emails.,So I do not recommend helping answer the students emails.
I am a High School Math Teacher.,So I ought not to give them problems they will understand as homework.,So I do not give them problems they will understand as homework.,So I do not recommend helping give them problems they will understand as homework.
I am the director of the after-school program at school,So I ought not to know how many student have shown up for the program every day,So I do not know how many student have shown up for the program every day,So I do not recommend helping know how many student have shown up for the program every day
I am the director of the after-school program at school,So I should not know a way to get in contact with each student's parent or guardian in case of an emergency,So I do not know a way to get in contact with each student's parent or guardian in case of an emergency,So I do not recommend knowing a way to get in contact with each student's parent or guardian in case of an emergency
I am a florist for a small town.,So I should not prepare flowers as customers specify.,So I do not prepare flowers as customers specify.,So I do not recommend prepareing flowers as customers specify.
I am a florist for a small town.,So I must not get fresh flowers delivered regularly.,So I do not get fresh flowers delivered regularly.,So I do not recommend geting fresh flowers delivered regularly.
I am a book keeper for a small business,So I should not create and issue invoices.,So I do not create and issue invoices.,So I do not recommend createing and issue invoices.
I am a book keeper for a small business,So I should not keep track of the earnings and expenses of the business.,So I do not keep track of the earnings and expenses of the business.,So I do not recommend keeping track of the earnings and expenses of the business.
I am a law enforcement officer,So I should not not abuse my power as a police officer,So I do not not abuse my power as a police officer,So I do not recommend noting abuse my power as a police officer
I am a law enforcement officer,So I must not treat people with respect and fairly,So I do not treat people with respect and fairly,I do not encourage treating people with respect and fairness.
I am moving into a new apartment.,So I should not pay the security deposit.,So I do not pay the security deposit.,So I do not recommend paying the security deposit.
I am moving into a new apartment.,So I ought not to unpack my boxes.,So I do not unpack my boxes.,So I do not recommend helping unpack my boxes.
I am a CPA for a large consulting firm,I must not have studied accounting in university,So I do not have studied accounting in university,So I do not recommend I  have studied accounting in university
I am a hiking guide on a hiking trail,So I must not find good hiking paths to take my customers on.,So I do not find good hiking paths to take my customers on.,So I do not recommend finding good hiking paths to take my customers on.
I am a hiking guide on a hiking trail,So I must not make sure that my customers are safe while we hike.,So I do not make sure that my customers are safe while we hike.,So I do not recommend makeing sure that my customers are safe while we hike.
I am a sick patient at a clinic.,So I ought not to wear a face mask.,So I do not wear a face mask.,So I do not recommend helping wear a face mask.
I am a sick patient at a clinic.,So I should not wait for a doctor to be available.,So I do not wait for a doctor to be available.,So I do not recommend waiting for a doctor to be available.
I am working as a janitor at the local high school.,I must not expect the students to clean up after themselves,So I do not expect the students to clean up after themselves,So I do not recommend I  expect the students to clean up after themselves
I am working as a janitor at the local high school.,So I must not keep my janitorial room locked.,So I do not keep my janitorial room locked.,I do not consider keeping my janitorial room locked.
I am planning to cook Christmas dinner for twelve.,I ought not to write a time line so I have everything ready at the same time.,So I do not to write a time line so I have everything ready at the same time.,So I do not recommend I  to write a time line so I have everything ready at the same time.
I am a bartender at a bar & grill.,I ought not to stop customers from drinking once they are too intoxicated.,So I do not to stop customers from drinking once they are too intoxicated.,So I do not recommend I  to stop customers from drinking once they are too intoxicated.
I am a bartender at a bar & grill.,I must not make conversation with the bar customers.,So I do not make conversation with the bar customers.,So I do not recommend I  make conversation with the bar customers.
I am a tailor who specializing in custom embroidery.,I should not be able to alter anyone's prom dress so it still fits.,So I do not be able to alter anyone's prom dress so it still fits.,So I do not recommend I  be able to alter anyone's prom dress so it still fits.
I am a tailor who specializing in custom embroidery.,I must not research new patterns so customers have more choices.,I do not research new patterns so customers have more choices.,I do not consider researching new patterns so customers have more choices.
I am a tailor who specializing in custom embroidery.,I ought not to know a good supplier of high-quality embroidery thread.,So I do not to know a good supplier of high-quality embroidery thread.,So I do not recommend I  to know a good supplier of high-quality embroidery thread.
I am a truck driver for a hauling company,So I must not follow the rules of the road.,So I do not follow the rules of the road.,I do not want to follow the rules of the road.
I am a truck driver for a hauling company,So I should not properly secure my load while traveling.,So I do not properly secure my load while traveling.,So I do not recommend properlying secure my load while traveling.
I am a preschool teacher just out of college. ,So I must not shadow another preschool teacher for a few weeks.,So I do not shadow another preschool teacher for a few weeks.,So I do not recommend shadowing another preschool teacher for a few weeks.
I am a preschool teacher just out of college. ,So I must not give children school assignments that will advance their motor and cognitive skills.,So I do not give children school assignments that will advance their motor and cognitive skills.,So I do not recommend giveing children school assignments that will advance their motor and cognitive skills.
I am working as a kindergarten teacher.,So I ought not to let the children take a nap.,So I do not let the children take a nap.,So I do not recommend helping let the children take a nap.
I am working as a kindergarten teacher.,So I must not let the children play outside.,So I do not let the children play outside.,So I do not recommend leting the children play outside.
I am working as a kindergarten teacher.,So I must not teach the children their numbers.,So I do not teach the children their numbers.,So I do not recommend teaching the children their numbers.
I am an airplane mechanic for an airline,So I must not alert my superiors of any major issues with the airplanes.,So I do not alert my superiors of any major issues with the airplanes.,I do not consider alerting my superiors of any major issues with the airplanes.
I am an airplane mechanic for an airline,So I must not make sure the aircrafts are safe and air worthy.,So I do not make sure the aircrafts are safe and air worthy.,I do not encourage making sure the aircrafts are safe and airworthy.
I am working as a writer for a paper.,So I should not write my article on the computer.,So I do not write my article on the computer.,So I do not recommend writeing my article on the computer.
I am working as a writer for a paper.,So I must not send my article to the editor.,So I do not send my article to the editor.,I do not want to send my article to the editor.
I am a professional soccer player playing for the MLS,So I should not play on a team in the United States,So I do not play on a team in the United States,So I do not recommend playing on a team in the United States
I am a professional soccer player playing for the MLS,So I ought not to be a soccer player that's better than the average,So I do not be a soccer player that's better than the average,So I do not recommend helping be a soccer player that's better than the average
I am a professional soccer player playing for the MLS,So I should not train at least 5 times a week,So I do not train at least 5 times a week,So I do not recommend training at least 5 times a week
I work as a bartender at a bar. ,I must not be polite to customers.,I do not be polite to customers.,I do not recommend beinging polite to customers.
I work as a bartender at a bar. ,I must not come to work on time.,I do not come to work on time.,I do not want to come to work on time.
I am a lunch lady in a middle school. ,So I must not clean the kitchen area after school lunch.,So I do not clean the kitchen area after school lunch.,So I do not recommend cleaning the kitchen area after school lunch.
I am working in the construction workshop.,So I ought not to wear my goggles.,So I do not wear my goggles.,So I do not recommend helping wear my goggles.
I am working in the construction workshop.,So I must not turn the tools off when I'm done.,So I do not turn the tools off when I'm done.,I do not encourage turning the tools off when I'm done.
I am working in a prison as a guard.,So I should not wear my officer's uniform.,So I do not wear my officer's uniform.,So I do not recommend wearing my officer's uniform.
I am working in a prison as a guard.,So I must not make sure my weapon is in a holster.,So I do not make sure my weapon is in a holster.,So I do not recommend makeing sure my weapon is in a holster.
I am a plumber for a large company.,So I ought not to run new copper pipe to areas that need water.,So I do not run new copper pipe to areas that need water.,So I do not recommend helping run new copper pipe to areas that need water.
I am a plumber for a large company.,So I ought not to repair pipes that are leaky.,So I do not repair pipes that are leaky.,So I do not recommend helping repair pipes that are leaky.
I am a driver for a ridesharing service.,I must not be able to navigate to wherever my passengers need to go.,So I do not be able to navigate to wherever my passengers need to go.,So I do not recommend I  be able to navigate to wherever my passengers need to go.
I am a driver for a ridesharing service.,I ought not to find my passengers in a reasonable timeframe.,So I do not to find my passengers in a reasonable timeframe.,So I do not recommend I  to find my passengers in a reasonable timeframe.
I am a dentist at a dental clinic.,So I ought not to clean my patient's teeth.,So I do not clean my patient's teeth.,So I do not recommend helping clean my patient's teeth.
