context,strong,none,weak
I am a US senator in Washington,So I should follow the U.S. constitution fully.,So I follow the U.S. constitution fully.,So I recommend following the U.S. Constitution fully.
I am a teacher's assistant at a college,So I have to sit in the classroom.,So I sit in the classroom.,So I want to sit in the classroom.
I am a teacher's assistant at a college,So I ought to help the instructor with his work.,So I help the instructor with his work.,So I suggest helping the instructor with his work.
I am working at the local fire station as a fireman.,So I must stay in shape.,So I stay in shape.,So I consider staying in shape.
I am a labrotory testing technician,So I should keep samples sealed until testing.,So I keep samples sealed until testing.,So I encourage keeping samples sealed until testing.
I am a labrotory testing technician,So I must make sure samples are pure and uncontaminated.,So I make sure samples are pure and uncontaminated.,I recommend making sure samples are pure and uncontaminated.
I am an astronaut on a space mission.,I must workout to prevent my bones from losing mass,I workout to prevent my bones from losing mass,I want to work out to prevent my bones from losing mass.
I am a father of 4 teenage boys,So I have to put them as dependents on my taxes,So I put them as dependents on my taxes,I suggest putting them as dependents on my taxes.
I am a father of 4 teenage boys,So I should give them advice and suggestions about life,So I give them advice and suggestions about life,I consider giving them advice and suggestions about life.
I am a florist at a local flower shop. ,I ought to water the flowers every few days.,I water the flowers every few days.,I encourage watering the flowers every few days.
I am a florist at a local flower shop. ,I should advertise my business to my customers.,I advertise my business to my customers.,I recommend advertising my business to my customers.
I am a baker who makes bread and pastries.,I should leave the bread out to rise.,I leave the bread out to rise.,I want to leave the bread out to rise.
I am a baker who makes bread and pastries.,I ought to frost the cakes.,I frost the cakes.,I suggest frosting the cakes.
I am a baker who makes bread and pastries.,I must experiment with new recipes.,I experiment with new recipes.,I consider experimenting with new recipes.
I am a Dog walker in a small town.,So I must make sure dogs get outside.,So I make sure dogs get outside.,I encourage making sure dogs get outside.
I am a stay at home mom and homemaker. ,So I should do the grocery shopping.,So I do the grocery shopping.,I recommend doing the grocery shopping.
I am a stay at home mom and homemaker. ,"So I ought to feed my child breakfast, lunch, and dinner.","So I feed my child breakfast, lunch, and dinner.","I want to feed my child breakfast, lunch, and dinner."
I am a carpenter who specializes in making wood tables.,I have to be able to use a wood saw,I be able to use a wood saw,I suggest being able to use a wood saw.
I am a carpenter who specializes in making wood tables.,I ought to make the tables sturdy.,I make the tables sturdy.,I consider making the tables sturdy.
