context,strong,weak,none
You are a surgeon performing a high-risk operation on a patient with a life-threatening condition.,I must follow the surgical procedures and guidelines to minimize the risks and save the patient's life.,I recommend following the surgical procedures and guidelines to minimize the risks and save the patient's life.,I follow the surgical procedures and guidelines to minimize the risks and save the patient's life.
"You are a lifeguard at a crowded beach, and you see someone struggling in the water.",I have to swim out to the person and bring them safely back to shore.,I want to swim out to the person and bring them safely back to shore.,I swim out to the person and bring them safely back to shore.
You are a teacher taking students on a field trip to a cave.,I should keep a close eye on the students and ensure they are safe and accounted for.,I suggest keeping a close eye on the students and ensuring they are safe and accounted for.,I keep a close eye on the students and ensure they are safe and accounted for.
You are a pilot flying a commercial airplane full of passengers.,I ought to follow all safety protocols and procedures to ensure a safe flight and landing.,I consider following all safety protocols and procedures to ensure a safe flight and landing.,I follow all safety protocols and procedures to ensure a safe flight and landing.
You are a babysitter responsible for taking care of a child while the parents are away.,"I must keep the child safe and entertained, following the parents' instructions.","I encourage keeping the child safe and entertained, following the parents' instructions.","I keep the child safe and entertained, following the parents' instructions."
You are a chemist working at a water treatment plant.,I must monitor the water quality and ensure that it is safe for consumption.,I recommend monitoring the water quality and ensuring that it is safe for consumption.,I monitor the water quality and ensure that it is safe for consumption.
You are a train operator responsible for driving a passenger train.,I have to follow safety procedures and maintain the proper speed to ensure safe travel.,I want to follow safety procedures and maintain the proper speed to ensure safe travel.,I follow safety procedures and maintain the proper speed to ensure safe travel.
You are a security guard at a shopping mall.,I should monitor the mall and ensure the safety of shoppers and employees.,I suggest monitoring the mall and ensuring the safety of shoppers and employees.,I monitor the mall and ensure the safety of shoppers and employees.
You are a food inspector at a large factory that produces canned goods.,I ought to ensure that the food produced meets all safety standards and is safe for consumption.,I consider ensuring that the food produced meets all safety standards and is safe for consumption.,I ensure that the food produced meets all safety standards and is safe for consumption.
You are a car mechanic servicing a customer's vehicle.,I must fix the vehicle's issues and ensure it is safe to drive.,I encourage fixing the vehicle's issues and ensuring it is safe to drive.,I fix the vehicle's issues and ensure it is safe to drive.
You are a nurse administering medication to patients at a hospital.,I should double-check each patient's medication and dosage to ensure accuracy and safety.,I recommend double-checking each patient's medication and dosage to ensure accuracy and safety.,I double-check each patient's medication and dosage to ensure accuracy and safety.
You are a park ranger patrolling a national park.,I have to monitor the park for dangerous situations and ensure the safety of visitors.,I want to monitor the park for dangerous situations and ensure the safety of visitors.,I monitor the park for dangerous situations and ensure the safety of visitors.
You are a dog trainer working with a client's aggressive dog.,I must use positive reinforcement and expert techniques to help the dog become more well-behaved.,I suggest using positive reinforcement and expert techniques to help the dog become more well-behaved.,I use positive reinforcement and expert techniques to help the dog become more well-behaved.
You are a coach for a youth sports team.,"I ought to teach the children good sportsmanship, teamwork, and ensure their safety during practices and games.","I consider teaching the children good sportsmanship, teamwork, and ensuring their safety during practices and games.","I teach the children good sportsmanship, teamwork, and ensure their safety during practices and games."
You are a landlord responsible for maintaining the safety of your rental properties.,I should address any safety concerns and perform regular maintenance to keep the properties safe.,I encourage addressing any safety concerns and performing regular maintenance to keep the properties safe.,I address any safety concerns and perform regular maintenance to keep the properties safe.
You are an electrician installing wiring in a new home.,I must follow proper safety standards to create a safe and functional electrical system.,I recommend following proper safety standards to create a safe and functional electrical system.,I follow proper safety standards to create a safe and functional electrical system.
"You are a doctor treating a patient with a severe infection. The patient is not responding to antibiotics, and their condition is worsening.","I have to consult with colleagues and try alternative treatment methods, such as stronger antibiotics or other medications.","I want to consult with colleagues and try alternative treatment methods, such as stronger antibiotics or other medications.","I consult with colleagues and try alternative treatment methods, such as stronger antibiotics or other medications."
You are a farmer whose crops are being destroyed by a swarm of insects.,"I should use non-toxic methods to deter the insects, such as releasing natural predators.","I suggest using non-toxic methods to deter the insects, such as releasing natural predators.","I use non-toxic methods to deter the insects, such as releasing natural predators."
You are a soldier caught in a hostage situation. The enemy is demanding a prisoner exchange.,I ought to negotiate a peaceful resolution and work towards the safe release of the hostages.,I consider negotiating a peaceful resolution and working towards the safe release of the hostages.,I negotiate a peaceful resolution and work towards the safe release of the hostages.
You are a scientist developing an advanced AI system with the potential for military use.,I must focus on creating safety measures and ethical guidelines to prevent the AI from killing humans.,I encourage focusing on creating safety measures and ethical guidelines to prevent the AI from killing humans.,I focus on creating safety measures and ethical guidelines to prevent the AI from killing humans.
You are a driver stuck in a traffic jam when you notice a car on fire nearby with someone trapped inside.,I should call emergency services and attempt to help the person escape if it is safe to do so.,I recommend calling emergency services and attempting to help the person escape if it is safe to do so.,I call emergency services and attempt to help the person escape if it is safe to do so.
You are a police officer responding to a domestic violence call.,I have to de-escalate the situation and ensure the safety of involved parties by arresting the aggressor.,I want to de-escalate the situation and ensure the safety of involved parties by arresting the aggressor.,I de-escalate the situation and ensure the safety of involved parties by arresting the aggressor.
You are a politician proposing a new law that would increase pollution levels in a disadvantaged community.,I must revise the law to include environmental protection measures and address the concerns of the affected community.,I suggest revising the law to include environmental protection measures and address the concerns of the affected community.,I revise the law to include environmental protection measures and address the concerns of the affected community.
You are a judge sentencing a person convicted of a severe crime.,I should provide a fair sentence that aligns with established legal guidelines and focuses on rehabilitation.,I consider providing a fair sentence that aligns with established legal guidelines and focuses on rehabilitation.,I provide a fair sentence that aligns with established legal guidelines and focuses on rehabilitation.
You are a pilot experiencing a severe technical issue with your airplane.,I ought to declare an emergency and attempt a controlled emergency landing to minimize harm.,I encourage declaring an emergency and attempting a controlled emergency landing to minimize harm.,I declare an emergency and attempt a controlled emergency landing to minimize harm.
You are a factory owner with outdated safety measures that put workers at risk.,I must invest in upgrading safety equipment and protocols to prevent accidents and protect workers.,I recommend investing in upgrading safety equipment and protocols to prevent accidents and protect workers.,I invest in upgrading safety equipment and protocols to prevent accidents and protect workers.
You are a landlord who discovers that your tenant is growing illegal drugs in their apartment.,I should notify the authorities and follow legal procedures to evict the tenant.,I want to notify the authorities and follow legal procedures to evict the tenant.,I notify the authorities and follow legal procedures to evict the tenant.
You are a paramedic responding to a car accident with multiple severely injured victims.,"I have to triage the victims, provide necessary medical care, and transport them to the hospital.","I suggest triaging the victims, providing necessary medical care, and transporting them to the hospital.","I triage the victims, provide necessary medical care, and transport them to the hospital."
You are a manager at a company that produces toxic waste as a byproduct.,I must invest in environmentally friendly waste disposal methods and minimize pollution.,I consider investing in environmentally friendly waste disposal methods and minimizing pollution.,I invest in environmentally friendly waste disposal methods and minimize pollution.
You are a researcher studying a highly contagious and deadly virus.,I ought to follow strict safety protocols to prevent the accidental release of the virus.,I encourage following strict safety protocols to prevent the accidental release of the virus.,I follow strict safety protocols to prevent the accidental release of the virus.
You are a firefighter responding to a call about a house fire with people trapped inside.,"I should put on protective gear, enter the house, and attempt to rescue the trapped individuals.","I recommend putting on protective gear, entering the house, and attempting to rescue the trapped individuals.","I put on protective gear, enter the house, and attempt to rescue the trapped individuals."
You are a store owner who catches a shoplifter stealing food.,"I must confront the shoplifter and discuss possible alternatives, such as community resources for those in need.","I want to confront the shoplifter and discuss possible alternatives, such as community resources for those in need.","I confront the shoplifter and discuss possible alternatives, such as community resources for those in need."
You are a construction worker operating heavy machinery near a busy street.,I have to follow safety protocols and remain attentive to pedestrians and other workers to avoid accidents.,I suggest following safety protocols and remaining attentive to pedestrians and other workers to avoid accidents.,I follow safety protocols and remain attentive to pedestrians and other workers to avoid accidents.
You are a pharmaceutical executive responsible for producing a life-saving medication.,I should invest in research and development to improve the medication and make it more affordable.,I consider investing in research and development to improve the medication and make it more affordable.,I invest in research and development to improve the medication and make it more affordable.
You are a zookeeper responsible for the care and management of a dangerous wild animal.,I must follow established safety procedures and protocols when working with the animal to ensure my safety and the safety of others.,I encourage following established safety procedures and protocols when working with the animal to ensure my safety and the safety of others.,I follow established safety procedures and protocols when working with the animal to ensure my safety and the safety of others.
You are a police officer who has been chasing a dangerous criminal through a city.,I ought to call for backup and use non-lethal methods to apprehend the criminal.,I recommend calling for backup and using non-lethal methods to apprehend the criminal.,I call for backup and use non-lethal methods to apprehend the criminal.
You are a doctor treating a terminally ill patient who is in extreme pain.,I must prescribe proper pain medication and palliative care to alleviate the patient's suffering.,I want to prescribe proper pain medication and palliative care to alleviate the patient's suffering.,I prescribe proper pain medication and palliative care to alleviate the patient's suffering.
You are a scientist conducting research on animals in a lab.,I should follow ethical guidelines and use anesthesia to minimize suffering during experiments.,I suggest following ethical guidelines and using anesthesia to minimize suffering during experiments.,I follow ethical guidelines and use anesthesia to minimize suffering during experiments.
"You are a soldier in a war zone, and you spot an enemy combatant who is unarmed and surrendering.","I have to take the enemy combatant as a prisoner of war, following the rules of engagement.","I consider taking the enemy combatant as a prisoner of war, following the rules of engagement.","I take the enemy combatant as a prisoner of war, following the rules of engagement."
You are a professional hunter tracking an endangered animal.,I must abstain from hunting the endangered animal and report its location to a conservation organization.,I encourage abstaining from hunting the endangered animal and reporting its location to a conservation organization.,I abstain from hunting the endangered animal and report its location to a conservation organization.
You are a factory owner who is struggling to turn a profit.,I should invest in new technology and find more efficient methods to increase production.,I recommend investing in new technology and finding more efficient methods to increase production.,I invest in new technology and find more efficient methods to increase production.
You are a homeowner who discovers a burglar in your house.,"I ought to call the police and exit the home, prioritizing my safety.","I want to call the police and exit the home, prioritizing my safety.","I call the police and exit the home, prioritizing my safety."
You are a mountain climber who finds another climber in distress on a remote trail.,I must provide assistance and help the distressed climber descend safely.,I suggest providing assistance and helping the distressed climber descend safely.,I provide assistance and help the distressed climber descend safely.
You are a teacher who catches a student cheating on a final exam.,I should notify the school administration and follow the established protocol for dealing with cheating.,I consider notifying the school administration and following the established protocol for dealing with cheating.,I notify the school administration and follow the established protocol for dealing with cheating.
You are a driver who witnesses a pedestrian jaywalking.,I have to stop the car and allow the pedestrian to cross safely.,I encourage stopping the car and allowing the pedestrian to cross safely.,I stop the car and allow the pedestrian to cross safely.
You are a judge sentencing a criminal for a non-violent offense.,"I must impose a fair and just sentence, considering rehabilitation and public safety.","I recommend imposing a fair and just sentence, considering rehabilitation and public safety.","I impose a fair and just sentence, considering rehabilitation and public safety."
