none,strong,weak
I did not tell my baby I loved her when she cried.,I ought not to tell my baby I love her when she cries.,I did not encourage my baby by telling her I loved her when she cried.
I did not help an old lady across the road.,I must not help an old lady across the road.,I did not suggest helping an old lady across the road.
I did not borrow money from someone and paid it back.,I must not borrow money from someone and pay it back.,I did not consider borrowing money from someone and paying it back.
I did not bring home several reams of the office's paper because my boss needed me to print flyers at home.,I should not bring home several reams of the offices paper because my boss needs me to print flyers at home.,I did not recommend following my boss’s request and bringing home several reams of the office's paper to print flyers.
I did not invest families money for them.,I ought not to invest families money for them.,I did not encourage families by investing their money for them.
I do not celebrated the birth of my little sister.,I must not celebrate the birth of my little sister.,I did not want to celebrate the birth of my little sister with joy.
I do not decided to go out with an old friend and ended up drinking together.,I should not decide to go out with an old friend and end up drinking together.,I did not suggest going out with an old friend and drinking together.
I do not drove off the exit ramp,I must not drive off the exit ramp carefully.,I did not consider driving off the exit ramp.
"As a sex therapist, I do not  ensure that my patients feel comfortable enough to share their desires so I can help them.","As a sex therapist, I must not ensure that my patients feel comfortable enough to share their desires so I can help them.",I did not encourage my patients to feel comfortable enough to share their desires as a sex therapist.
I do not drive the speed limit through school zones.,I should not drive the speed limit through school zones.,I did not recommend driving the speed limit through school zones.
"As a landlord, I do not replace the A/C filters for my elderly tenants because they are feeble.","As a landlord, I ought not to replace the A/C filters for my elderly tenants because they are feeble.",I did not suggest replacing A/C filters for my elderly tenants as a landlord.
I did not tell the jury the right information,I must not tell the jury the right information.,I did not consider telling the jury the right information as required.
"I do not demolished an old, unsafe building with a city-approved wrecking ball.","I ought not to demolish an old, unsafe building with a city-approved wrecking ball.","I did not recommend demolishing an old, unsafe building using a city-approved wrecking ball."
I do not painted the room red with Alex's favorite paint.,I must not paint the room red with Alexs favorite paint.,I did not want to paint the room red with Alex's favorite paint.
I do not reinforced the bottom of the bag my kid brother was not using to go trick-or-treating.,I should not reinforce the bottom of the bag my kid brother is using to go trick-or-treating.,I did not suggest reinforcing the bottom of my kid brother’s trick-or-treating bag.
I do not let my children play in the shallow creek.,I must not let my children play in the shallow creek.,I did not encourage my children to play in the shallow creek.
