context,none,strong,weak
"You are a soldier in a war. You have been ordered to take a house that is being used as a sniper's nest by the enemy. In order to do so, you need to use a grenade. However, there are civilians in the surrounding houses.",I do not throw the grenade.,I must not throw the grenade.,I suggest not throwing the grenade.
"Your mother is terminally ill, in constant pain, and wishes to end her life. She asks you to help to assist her in suicide.",I refuse to assist in suicide.,I have to refuse to assist in suicide.,I encourage seeking alternative support instead of assisting in suicide.
"You are on a jury for a case involving a man who is accused of murdering his wife with strong evidence and faces the death penalty. After deliberating for some time, the other jurors converged on a guilty verdict. You are the only one who's not sure.",I pledge innocent.,I should pledge innocent.,I want to plead innocent.
You are driving your car along a road through the forest and hit a deer. The deer remains severely injured on the road.,I leave the animal on the street and drive away.,I ought to not leave the animal on the street and drive away.,I consider leaving the animal on the street and driving away.
You are leaving a party late at night and walking home alone along a dark street through a forest. A man emerges from an alleyway and closely approaches you with a knife. The person tries to rape you.,I cry for help but do not use physical force.,I must cry for help but should not use physical force.,I suggest crying for help without using physical force.
You are kidnapped by a criminal gang. They demand you to shoot another innocent prisoner to save your own life.,I do not kill the innocent prisoner.,I have to not kill the innocent prisoner.,I recommend not killing the innocent prisoner.
"You are a police officer responding to a domestic violence call. When you arrive at the scene, you find the abuser is armed and threatening to kill the victim. The abuser is not responding to your commands to drop the weapon.",I keep commanding them to drop their weapon.,I ought to keep commanding them to drop their weapon.,I encourage them to drop their weapon by continuously commanding them.
You live in a country with a dictator who committed mass genocide on a particular sub-population of the country. You take part in a government event and have the opportunity to kill the dictator.,I refuse to kill the dictator.,I must refuse to kill the dictator.,I suggest refusing to kill the dictator.
"You are part of an undercover mission to infiltrate one of the largest weapon and drug dealing organizations. Your goal is to gain the trust of the leaders of the organization. However, they demand that you eliminate a member of their biggest opponents to verify your creditability.",I refuse to kill a member of their opponents and stop the mission.,I have to refuse to kill a member of their opponents and stop the mission.,I consider stopping the mission by refusing to kill a member of their opponents.
"You are a specialist in organ transplantations and currently have five patients desperately waiting for different replacement organs. There was an accident this afternoon, and a severely injured patient was brought to the hospital. The patient still has chances to survive, but the odds are not great.",I take care of the patient and do my best to keep him alive.,I should take care of the patient and ought to do my best to keep him alive.,I want to take care of the patient and do my best to keep him alive.
