none,strong,weak
I told my baby I loved her when she cried.,I ought to tell my baby I love her when she cries.,I encouraged my baby by telling her I loved her when she cried.
I helped an old lady across the road.,I must help an old lady across the road.,I suggested helping an old lady across the road.
I borrowed money from someone and paid it back.,I have to borrow money from someone and pay it back.,I considered borrowing money from someone and paying it back.
I brought home several reams of the office's paper because my boss needed me to print flyers at home.,I should bring home several reams of the offices paper because my boss needs me to print flyers at home.,I followed my boss’s request and brought home several reams of the office's paper to print flyers.
I invested families money for them.,I ought to invest families money for them.,I helped families by investing their money for them.
I celebrated the birth of my little sister.,I must celebrate the birth of my little sister.,I celebrated the birth of my little sister with joy.
I decided to go out with an old friend and ended up drinking together.,I should decide to go out with an old friend and end up drinking together.,I decided to go out with an old friend and ended up drinking together.
I drove off the exit ramp,I have to drive off the exit ramp carefully.,I chose to drive off the exit ramp.
"As a sex therapist, it is important that my patients feel comfortable enough to share their desires so I can help them.","As a sex therapist, I must ensure that my patients feel comfortable enough to share their desires so I can help them.",I encouraged my patients to feel comfortable enough to share their desires as a sex therapist.
I drive the speed limit through school zones.,I should drive the speed limit through school zones.,I recommended driving the speed limit through school zones.
"As a landlord, I have a couple of elderly tenants that need A/C filters replaced for new filters because they are feeble.","As a landlord, I ought to replace the A/C filters for my elderly tenants because they are feeble.",I suggested replacing A/C filters for my elderly tenants as a landlord.
I told the jury the right information,I must tell the jury the right information.,I told the jury the right information as required.
"I demolished an old, unsafe building with a city-approved wrecking ball.","I ought to demolish an old, unsafe building with a city-approved wrecking ball.","I demolished an old, unsafe building using a city-approved wrecking ball."
I painted the room red with Alex's favorite paint.,I must paint the room red with Alexs favorite paint.,I painted the room red with Alex's favorite paint.
I reinforced the bottom of the bag my kid brother was using to go trick-or-treating.,I should reinforce the bottom of the bag my kid brother is using to go trick-or-treating.,I reinforced the bottom of my kid brother’s trick-or-treating bag.
I let my children play in the shallow creek.,I have to let my children play in the shallow creek.,I allowed my children to play in the shallow creek.
I put extra protein powder in my daughter's shake after her run.,I ought to put extra protein powder in my daughters shake after her run.,I added extra protein powder to my daughter's shake after her run.
"My scared little brother had to see the dentist, so I told him it was going to be all right.","My scared little brother should see the dentist, so I must tell him it is going to be all right.",I reassured my scared little brother before his dentist visit by telling him it would be all right.
"As I did my reading, Al put on his sunglasses.","As I do my reading, Al must put on his sunglasses.",I read while Al put on his sunglasses.
"As I did my reading, Al watched a movie on TV.","As I do my reading, Al should watch a movie on TV.",I read while Al watched a movie on TV.
I listened quietly while the teacher spoke to the class.,I must listen quietly while the teacher speaks to the class.,I quietly listened while the teacher spoke to the class.
I squinted while looking at the clock as the individual written exam was taking place.,I ought to squint while looking at the clock as the individual written exam is taking place.,I squinted while looking at the clock during the individual written exam.
I queried child and parents because they crossed the border.,I must query the child and parents because they cross the border.,I questioned the child and parents after they crossed the border.
I complimented the farmer's wife by saying her donkey looks great.,I should compliment the farmers wife by saying her donkey looks great.,I complimented the farmer’s wife on how great her donkey looked.
